iter	Passed	Remaining
767	6210	1876
768	6220	1868
769	6227	1860
770	6236	1852
771	6243	1844
772	6251	1835
773	6258	1827
774	6265	1819
775	6272	1810
776	6279	1802
777	6290	1794
778	6298	1786
779	6307	1778
780	6314	1770
781	6322	1762
782	6330	1754
783	6340	1746
784	6348	1738
785	6357	1730
786	6366	1723
787	6374	1715
788	6383	1707
789	6392	1699
790	6401	1691
791	6408	1683
792	6417	1675
793	6426	1667
794	6434	1659
795	6442	1651
796	6451	1643
797	6458	1634
798	6467	1626
799	6476	1619
800	6485	1611
801	6492	1602
802	6501	1594
803	6509	1586
804	6517	1578
805	6526	1570
806	6534	1562
807	6542	1554
808	6550	1546
809	6559	1538
810	6567	1530
811	6576	1522
812	6584	1514
813	6592	1506
814	6600	1498
815	6609	1490
816	6617	1482
817	6626	1474
818	6633	1465
819	6642	1458
820	6650	1450
821	6658	1441
822	6666	1433
823	6675	1425
824	6682	1417
825	6691	1409
826	6699	1401
827	6707	1393
828	6714	1385
829	6723	1377
830	6731	1368
831	6739	1360
832	6746	1352
833	6755	1344
834	6762	1336
835	6773	1328
836	6782	1320
837	6789	1312
838	6797	1304
839	6804	1296
840	6811	1287
841	6819	1279
842	6827	1271
843	6835	1263
844	6844	1255
845	6852	1247
846	6862	1239
847	6872	1231
848	6883	1224
849	6891	1216
850	6899	1208
851	6907	1199
852	6916	1191
853	6925	1183
854	6933	1175
855	6942	1167
856	6950	1159
857	6960	1151
858	6968	1143
859	6976	1135
860	6984	1127
861	6994	1119
862	7001	1111
863	7015	1104
864	7027	1096
865	7036	1088
866	7044	1080
867	7051	1072
868	7060	1064
869	7067	1056
870	7076	1048
871	7085	1040
872	7094	1032
873	7103	1024
874	7111	1015
875	7119	1007
876	7127	999
877	7135	991
878	7143	983
879	7153	975
880	7160	967
881	7170	959
882	7178	951
883	7186	942
884	7194	934
885	7203	926
886	7212	918
887	7220	910
888	7229	902
889	7237	894
890	7245	886
891	7252	878
892	7260	869
893	7269	861
894	7278	853
895	7287	845
896	7296	837
897	7304	829
898	7317	822
899	7326	814
900	7335	805
901	7345	798
902	7353	789
903	7361	781
904	7370	773
905	7378	765
906	7386	757
907	7395	749
908	7404	741
909	7412	733
910	7419	724
911	7427	716
912	7434	708
913	7442	700
914	7448	691
915	7458	683
916	7466	675
917	7474	667
918	7482	659
919	7492	651
920	7499	643
921	7508	635
922	7516	627
923	7524	618
924	7531	610
925	7539	602
926	7547	594
927	7555	586
928	7563	578
929	7571	569
930	7579	561
931	7587	553
932	7594	545
933	7605	537
934	7612	529
935	7621	521
936	7630	513
937	7638	504
938	7648	496
939	7655	488
940	7665	480
941	7673	472
942	7681	464
943	7689	456
944	7700	448
945	7709	440
946	7717	431
947	7725	423
948	7733	415
949	7742	407
950	7749	399
951	7756	391
952	7764	382
953	7771	374
954	7780	366
955	7788	358
956	7796	350
957	7803	342
958	7812	333
959	7819	325
960	7827	317
961	7834	309
962	7844	301
963	7853	293
964	7861	285
965	7870	277
966	7879	268
967	7887	260
968	7895	252
969	7904	244
970	7911	236
971	7919	228
972	7926	219
973	7934	211
974	7942	203
975	7951	195
976	7959	187
977	7969	179
978	7977	171
979	7985	162
980	7993	154
981	8002	146
982	8010	138
983	8018	130
984	8025	122
985	8033	114
986	8041	105
987	8048	97
988	8056	89
989	8063	81
990	8070	73
991	8079	65
992	8087	57
993	8096	48
994	8104	40
995	8113	32
996	8122	24
997	8132	16
998	8140	8
999	8149	0
