iter	Logloss
0	0.6745425754
1	0.655640044
2	0.6371223732
3	0.6203189991
4	0.6055245859
5	0.588931444
6	0.573268184
7	0.5604905305
8	0.5458830657
9	0.5335853859
10	0.5203782823
11	0.5095427337
12	0.4999691999
13	0.4896326701
14	0.4778594971
15	0.4677386814
16	0.4579196506
17	0.4479560569
18	0.4393570511
19	0.4303724783
20	0.4215017813
21	0.4127035635
22	0.4047151354
23	0.3972128974
24	0.3906689962
25	0.38394425
26	0.3787316216
27	0.3727100231
28	0.3666597437
29	0.3612260324
30	0.3570378056
31	0.3508511861
32	0.3452493738
33	0.3396731341
34	0.3346276742
35	0.3298318651
36	0.3254281503
37	0.321815745
38	0.3192417851
39	0.3147735596
40	0.311114728
41	0.3082851269
42	0.3047562776
43	0.3019284849
44	0.2984568843
45	0.2962756969
46	0.2929964136
47	0.2897357517
48	0.2867931225
49	0.2838291027
50	0.2809987386
51	0.2786404362
52	0.276041045
53	0.2737230089
54	0.2709334762
55	0.2686352765
56	0.2669422291
57	0.2647771765
58	0.26305785
59	0.2612533004
60	0.2593238548
61	0.2573239927
62	0.2554017809
63	0.2539767795
64	0.2525022719
65	0.2507450245
66	0.2491377654
67	0.2476594996
68	0.2463175173
69	0.2449183146
70	0.2438228466
71	0.2422183001
72	0.240707567
73	0.2392833568
74	0.237834111
75	0.2361443696
76	0.2350838131
77	0.2338479643
78	0.2324850012
79	0.2316491021
80	0.2305429247
81	0.2298268777
82	0.2290426749
83	0.2283820541
84	0.2276806302
85	0.2264341001
86	0.2258600164
87	0.2251112337
88	0.2245040752
89	0.223999193
90	0.2230442754
91	0.2222499847
92	0.2216425295
93	0.2207105001
94	0.2200379124
95	0.2188814093
96	0.2177346547
97	0.2169359278
98	0.2162409747
99	0.2154155872
100	0.2148562396
101	0.2140382555
102	0.2134926407
103	0.2129213404
104	0.2122914067
105	0.2118015148
106	0.211218403
107	0.2105630098
108	0.2099594823
109	0.2094690959
110	0.2089975145
111	0.2086173587
112	0.2079467491
113	0.2073856071
114	0.2067386203
115	0.2060220506
116	0.2054479246
117	0.2050782239
118	0.2046273126
